Work Year,Experience Level,Employment Type,Job Title,salary,salary_currency,Salary (USD),Employee Country,Work Mode,Company Country,Company Size
2023,Senior Level,Full-Time,Principal Data Scientist,80000,EUR,85847,ES,Remote,ES,Large
2023,Senior Level,Full-Time,Data Scientist,175000,USD,175000,CA,Remote,CA,Medium
2023,Senior Level,Full-Time,Data Scientist,120000,USD,120000,CA,Remote,CA,Medium
2023,Senior Level,Full-Time,Applied Scientist,222200,USD,222200,US,On-Site,US,Large
2023,Senior Level,Full-Time,Applied Scientist,136000,USD,136000,US,On-Site,US,Large
2023,Senior Level,Full-Time,Data Scientist,219000,USD,219000,CA,On-Site,CA,Medium
2023,Senior Level,Full-Time,Data Scientist,141000,USD,141000,CA,On-Site,CA,Medium
2023,Senior Level,Full-Time,Data Scientist,147100,USD,147100,US,On-Site,US,Medium
2023,Senior Level,Full-Time,Data Scientist,90700,USD,90700,US,On-Site,US,Medium
2023,Senior Level,Full-Time,Data Analyst,130000,USD,130000,US,Remote,US,Medium
2023,Senior Level,Full-Time,Data Analyst,100000,USD,100000,US,Remote,US,Medium
2023,Entry Level,Full-Time,Applied Scientist,213660,USD,213660,US,On-Site,US,Large
2023,Entry Level,Full-Time,Applied Scientist,130760,USD,130760,US,On-Site,US,Large
2023,Senior Level,Full-Time,Data Modeler,147100,USD,147100,US,On-Site,US,Medium
2023,Senior Level,Full-Time,Data Modeler,90700,USD,90700,US,On-Site,US,Medium
2023,Senior Level,Full-Time,Data Scientist,170000,USD,170000,US,On-Site,US,Medium
2023,Senior Level,Full-Time,Data Scientist,150000,USD,150000,US,On-Site,US,Medium
2023,Mid Level,Full-Time,Data Analyst,150000,USD,150000,US,Remote,US,Medium
2023,Mid Level,Full-Time,Data Analyst,110000,USD,110000,US,Remote,US,Medium
2023,Senior Level,Full-Time,Research Engineer,275000,USD,275000,DE,On-Site,DE,Medium
2023,Senior Level,Full-Time,Research Engineer,174000,USD,174000,DE,On-Site,DE,Medium
2023,Senior Level,Full-Time,Analytics Engineer,230000,USD,230000,GB,Remote,GB,Medium
2023,Senior Level,Full-Time,Analytics Engineer,143200,USD,143200,GB,Remote,GB,Medium
2023,Senior Level,Full-Time,Business Intelligence Engineer,225000,USD,225000,US,On-Site,US,Medium
2023,Senior Level,Full-Time,Business Intelligence Engineer,156400,USD,156400,US,On-Site,US,Medium
